Cost-,Score-,Idle-
0.3503513596153546,0.1600413677721037,0.7384615384615384
0.1419289316550905,0.143712541042136,0.923076923076923
0.2588982211017495,0.2034752830864816,0.8391608391608391
0.5849060713922961,0.2092839224359786,0.5944055944055944
0.4406592879849896,0.026060338627958,0.6923076923076922
0.3688257708214894,0.1349312835493794,0.6954689146469969
0.219388958444747,0.1338866908349716,0.5253283302063789
0.1712017926202295,0.0455466150731728,0.4895104895104896
0.2020850041880139,0.1025760334305286,0.2797202797202796
0.2511449272368857,0.0335207130108245,0.4539722572509457
0.4031125731876989,0.0524665288553335,0.5668016194331984
0.468505633734227,0.268007428019835,0.5769230769230769
0.5195375642497136,0.1364031464266665,0.0
0.1445586585622006,0.2442533141235237,0.8173076923076923
0.250630306513821,0.242404240589479,0.7692307692307692
0.2175962746054106,0.167974585116095,0.6495726495726496
0.403775568849716,0.1213124613492915,0.7142857142857143
0.1686374870964509,0.0266199534606852,0.5811965811965811
0.3575824849607497,0.059718010614931,0.0
0.6345680349818629,0.051544199069335,0.2488687782805429
0.1253422536700944,0.009958918636404,0.0
0.5086183946626099,0.1487916581812773,0.3846153846153846
0.601856210568374,0.0887975253410309,0.6105006105006106
0.4074794149953837,0.0226694350290149,0.3418803418803418
0.2435383877273192,0.1902377441089904,0.0
0.3830739260566869,0.0935219224583014,0.1326259946949601
0.2875108958211346,0.1612689660250066,0.4102564102564103
0.3602106753777974,0.0294795453331363,0.0
0.4028605250379331,0.1228411009479078,0.7800650054171181
0.3209878535873854,0.0410729848816563,0.0
0.3208112121810278,0.1118014021895219,0.0654664484451717
0.1268366383140883,0.0598350240616296,0.3846153846153846
0.2389792919981561,0.1438713367020982,0.293040293040293
0.2653424931918885,0.0423931942733668,0.5594405594405595
0.184901638680977,0.3723062792097027,0.879120879120879
0.206289639212936,0.0788110867954943,0.0
0.1211882991259041,0.1866903314376692,0.7692307692307692
0.6465075031900688,0.0785821906343699,0.0
0.1443140608921259,0.0410609016167667,0.4195804195804195
0.1964745924834337,0.1484588808410864,0.2662721893491125
0.2451245701289723,0.0276699633795301,0.0
0.2777583654335253,0.0739371730656503,0.879120879120879
0.2476206266372497,0.0590256061980016,0.0
0.1820854387451674,0.017456877148768,0.4395604395604395
0.3849742325319325,0.1943777451348253,0.7963800904977374
0.2314214882808701,0.0478376502143442,0.7993966817496228
0.3375003721390942,0.0357446761220622,0.0
0.5337484389337149,0.1047123389281084,0.1864801864801864
0.1674285502732352,0.0760340661931207,0.5128205128205129
